url,clicks,impressions,ctr,position
https://sweetsworld.com.au/newcastle/white-knight-chocolate-where-to-buy-australia/,2,33,0.0606,7.1
https://sweetsworld.com.au/party-lollies/kidsparty/busters-tangy-candy-40g/,2,21,0.0952,5.5
https://sweetsworld.com.au/party-lollies/kidsparty/toy-story-candy-chest/,2,17,0.1176,7.7
https://sweetsworld.com.au/party-lollies/kidsparty/vidal-fizzy-gum-bullets/,2,15,0.1333,3.5
https://sweetsworld.com.au/shop/candy/old-fashion-lollies/sugareasteregg-oval250g/,2,11,0.1818,2.8
https://sweetsworld.com.au/shop/dolls/jellycat-yani-yeti-cream-28x11x15cm/,2,3,0.6667,3.3
https://sweetsworld.com.au/shop/grocery/american-cereals/capn-crunch-origianl-360g/,2,5,0.4000,5.8
https://sweetsworld.com.au/shop/grocery/american-cereals/frootloopsbowl42g/,2,2,1.0000,1.0
https://sweetsworld.com.au/shop/uncategorized/darrellleadarkchocolateginger200g/,2,6,0.3333,3.5
https://sweetsworld.com.au/shop/uncategorized/dl-dark-choc-rum-raisin-block-170g/,2,4,0.5000,1.2
https://sweetsworld.com.au/shop/uncategorized/lagoonchoo-choobar-raspberry20g/,2,4,0.5000,2.0
https://sweetsworld.com.au/shop/uncategorized/lorena-pelon-pelon-pelo-rico-tamarind-jelly-candy-bulk-106-oz-bottles-28g/,2,2,1.0000,1.5
https://sweetsworld.com.au/shop/uncategorized/pink-lady-xmas-tin-180g/,2,2,1.0000,2.0
https://sweetsworld.com.au/shop/uncategorized/pinkladymilkchocfoiledwombat100g/,2,3,0.6667,2.0
https://sweetsworld.com.au/uncategorized/trolli-planet-gummi-16g/,2,98,0.0204,13.9
https://sweetsworld.com.au/british-lollies/uk-chocolate/butlers-drumshanbo-gunpowder-irish-gin/,1,1,1.0000,1.0
https://sweetsworld.com.au/british-lollies/uk-chocolate/butlers-xmas-festive-menu/,1,2,0.5000,2.0
https://sweetsworld.com.au/british-lollies/uk-chocolate/jack-daniels-tennessee-honey-100g/,1,94,0.0106,16.5
https://sweetsworld.com.au/british-lollies/uk-sweets/cherry-bon-bons-120g/,1,1,1.0000,3.0
https://sweetsworld.com.au/candy/6128777/,1,13,0.0769,9.1
https://sweetsworld.com.au/candy/adult-marshmallow-willies-140g/,1,5,0.2000,2.2
https://sweetsworld.com.au/candy/adult-sexy-jelly-men-120g/,1,6,0.1667,3.5
https://sweetsworld.com.au/candy/american-candy/34000531042/,1,6,0.1667,1.2
https://sweetsworld.com.au/candy/american-candy/52600112751/,1,10,0.1000,15.3
