url,clicks,impressions,ctr,position
https://sweetsworld.com.au/shop/uncategorized/dl-dark-choc-rum-raisin-block-170g/,2,3,0.6667,1.3
https://sweetsworld.com.au/shop/uncategorized/lagoonchoo-choobar-raspberry20g/,2,3,0.6667,1.7
https://sweetsworld.com.au/shop/uncategorized/lorena-pelon-pelon-pelo-rico-tamarind-jelly-candy-bulk-106-oz-bottles-28g/,2,2,1.0000,1.5
https://sweetsworld.com.au/shop/uncategorized/pink-lady-xmas-tin-180g/,2,2,1.0000,2.0
https://sweetsworld.com.au/shop/uncategorized/pinkladymilkchocfoiledwombat100g/,2,3,0.6667,2.0
https://sweetsworld.com.au/uncategorized/trolli-planet-gummi-16g/,2,84,0.0238,13.6
https://sweetsworld.com.au/where-to-buy/white-knight-chocolate-where-to-buy-australia/,2,244,0.0082,7.4
https://sweetsworld.com.au/british-lollies/uk-chocolate/butlers-xmas-festive-menu/,1,2,0.5000,2.0
https://sweetsworld.com.au/british-lollies/uk-chocolate/jack-daniels-tennessee-honey-100g/,1,67,0.0149,14.6
https://sweetsworld.com.au/candy/adult-marshmallow-willies-140g/,1,5,0.2000,2.2
https://sweetsworld.com.au/candy/adult-sexy-jelly-men-120g/,1,4,0.2500,3.8
https://sweetsworld.com.au/candy/american-candy/52600112751/,1,7,0.1429,9.9
https://sweetsworld.com.au/candy/american-candy/american-chocolate/harry-potter-chocolate-frog-15g/,1,14,0.0714,23.7
https://sweetsworld.com.au/candy/american-candy/american-chocolate/hersheys-kisses-bag-137g/,1,111,0.0090,13.2
https://sweetsworld.com.au/candy/american-candy/giantcampfiremarshmallow340g/,1,1,1.0000,5.0
https://sweetsworld.com.au/candy/american-candy/hubbabubbabubbletapeoriginal56g/,1,4,0.2500,27.8
https://sweetsworld.com.au/candy/big-lolly-licorice-allsorts-850g/,1,5,0.2000,5.4
https://sweetsworld.com.au/candy/bodylicious-edible-body-paint-pens-260g/,1,33,0.0303,12.0
https://sweetsworld.com.au/candy/boxedcaramelmarshmallows230g/,1,2,0.5000,13.5
https://sweetsworld.com.au/candy/campfire-giant-marshmallows-340g/,1,5,0.2000,13.6
https://sweetsworld.com.au/candy/candy-showcase-swirly-pop-12g/,1,12,0.0833,5.4
https://sweetsworld.com.au/candy/conversation-heart/,1,1,1.0000,1.0
https://sweetsworld.com.au/candy/dutch-sweets/steenland-chocolate-happy-birthday-day-medallion-125mm-with-ribbon/,1,7,0.1429,14.4
https://sweetsworld.com.au/candy/hi-chewmango57g/,1,1,1.0000,2.0
https://sweetsworld.com.au/candy/jelly-belly-sizzling-cinnamon-99g/,1,3,0.3333,5.3
https://sweetsworld.com.au/candy/kapri-peel-gummy-mango-73g/,1,15,0.0667,7.9
https://sweetsworld.com.au/candy/lollinaut-strap-peach-160g/,1,1,1.0000,9.0
https://sweetsworld.com.au/candy/milk-chocolate-gold-coins-65g-gluten-free/,1,97,0.0103,15.1
https://sweetsworld.com.au/candy/mmscaramel40g/,1,4,0.2500,8.0
https://sweetsworld.com.au/candy/mmspeanutbuttersharingsize802g-2/,1,3,0.3333,5.0
